turbine_size_kw,turbine_height_m,allowed
2.5,20,TRUE
5,20,FALSE
10,20,FALSE
20,20,FALSE
50,20,FALSE
100,20,FALSE
250,20,FALSE
500,20,FALSE
750,20,FALSE
1000,20,FALSE
1500,20,FALSE
2.5,30,TRUE
5,30,TRUE
10,30,TRUE
20,30,TRUE
50,30,TRUE
100,30,FALSE
250,30,FALSE
500,30,FALSE
750,30,FALSE
1000,30,FALSE
1500,30,FALSE
2.5,40,TRUE
5,40,TRUE
10,40,TRUE
20,40,TRUE
50,40,TRUE
100,40,TRUE
250,40,FALSE
500,40,FALSE
750,40,FALSE
1000,40,FALSE
1500,40,FALSE
2.5,50,FALSE
5,50,FALSE
10,50,FALSE
20,50,TRUE
50,50,TRUE
100,50,TRUE
250,50,TRUE
500,50,TRUE
750,50,TRUE
1000,50,TRUE
1500,50,FALSE
2.5,80,FALSE
5,80,FALSE
10,80,FALSE
20,80,FALSE
50,80,FALSE
100,80,FALSE
250,80,FALSE
500,80,TRUE
750,80,TRUE
1000,80,TRUE
1500,80,TRUE